time,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,twist_y
0.0,-131.411499,92.279282,497.819489,0.6201736092158734,-0.3152394707085853,-0.37845461005777953,0.6105578421947769,-5.0983904395160975,21.64794485840147,-20.304589629481974,-0.31757878469693523,0.025184168156775898,0.13493587284857322,0.025184168156775898
0.033333,-131.202103,92.198357,496.841095,0.6172805363739319,-0.3196241197507547,-0.3807106924577719,0.6098069613703915,-6.078535266956056,24.51272974802083,-22.004809424108903,-0.3009207172015645,0.0468945211703838,0.11396014500658544,0.0468945211703838
0.066666,-130.969101,92.062767,495.641388,0.6152484742156976,-0.3238316410260702,-0.3823936366981062,0.6085864686783754,-8.637102447585606,29.216673587348073,-24.633365428319834,-0.27351142080748037,0.13340397493379053,0.09227159540692689,0.13340397493379053
0.099999,-130.739197,91.830963,494.296906,0.6141548530946709,-0.32911461060899905,-0.38252607834618024,0.6067711173820339,-10.998466621555144,33.72904246521307,-27.54184330469078,-0.21212218399803712,0.22551944613467376,0.08541728398279963,0.22551944613467376
0.133332,-130.461502,91.547501,492.735901,0.6140710949165444,-0.33382538818957036,-0.38113119571784176,0.6051580886336785,-12.166992105737062,38.8549923911653,-31.75090350529134,-0.11329040910581946,0.2606666965492702,0.058910280681377804,0.2606666965492702
0.166665,-130.140594,91.246071,490.958099,0.6150190490342367,-0.33744086553892993,-0.378821273700632,0.6036386950661726,-11.368309524651355,43.96797712747613,-36.69620657147848,-0.054516873576602766,0.1994643325991103,0.025048350399039476,0.1994643325991103
0.199998,-129.740005,91.021973,488.947205,0.61547759295441,-0.33927547699109767,-0.3778603877936687,0.6027445649858049,-7.61192400617621,49.67723219729828,-44.43939210931726,-0.05002630797060106,-0.11265515890344237,-0.07036387797290936,-0.11265515890344237
0.233331,-129.152802,90.994667,486.603394,0.614436650533429,-0.3353112766134599,-0.3829262600377147,0.6028278606954401,-6.516940393110021,53.700544232274034,-53.7551384019711,-0.01589629659865035,-0.4988122775385737,-0.1657550668823184,-0.4988122775385737
0.266664,-128.328903,90.939407,484.063599,0.6122388809392623,-0.32744877261557914,-0.3902329170994675,0.6046975478624258,-11.700869926264293,57.28176548396801,-61.88786843751721,0.07247938439671134,-0.6327052335796146,-0.2977552094491629,-0.6327052335796146
0.299997,-127.371101,90.717751,481.22171,0.6129882316856495,-0.3172004316579118,-0.3976198904203841,0.6045888989329994,-14.364394676722489,59.96721508581019,-67.28876669540509,0.22438047590837562,-0.5411061175197893,-0.3719671138878673,-0.5411061175197893
