root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
-7.696556,4.089732,0.770062,0.006643,0.05939,0.83325,-0.549658,-0.084687,-0.157099,0.215701,0.358463,-0.257877,0.133259,-0.210892,-0.178626,0.027332,1.289421,-0.149047,0.153993,0.071674,-0.064636,0.095057,0.137716,0.041192,-0.00905,0.917501,1.014658,0.126506,-0.025615,-0.002817,-0.038068,-0.065386,0.82426,-0.972858,0.275155,-0.035032
-7.704275,4.072673,0.768892,0.008302,0.065125,0.823574,-0.563396,-0.054489,-0.1744,0.183681,0.372803,-0.281453,0.129383,-0.25841,-0.198045,0.024677,1.265928,-0.193765,0.12233,0.067339,-0.070572,0.098646,0.110881,0.050161,0.008996,0.88686,1.022011,0.121823,0.037739,0.013903,-0.048701,-0.068324,0.874097,-1.004095,0.318281,-0.029561
-7.711977,4.055805,0.767988,0.009264,0.069764,0.812578,-0.578588,-0.025055,-0.190093,0.147049,0.384645,-0.30187,0.125753,-0.299769,-0.203151,0.030976,1.207453,-0.246874,0.091884,0.063067,-0.075045,0.101327,0.066839,0.056967,0.025503,0.865318,1.016575,0.112722,0.077766,0.037723,-0.060674,-0.078657,0.907193,-1.021136,0.344983,0.000581
-7.719533,4.039082,0.767419,0.009078,0.073262,0.801182,-0.59385,0.00454,-0.204174,0.108442,0.389809,-0.31786,0.123481,-0.335708,-0.189406,0.05633,1.121586,-0.279011,0.065051,0.059398,-0.077652,0.102738,0.027633,0.059858,0.043245,0.833059,0.989232,0.085534,0.099262,0.060163,-0.073282,-0.105091,0.927111,-1.018294,0.350313,0.035159
-7.726932,4.022357,0.767046,0.007958,0.075512,0.790316,-0.607977,0.03506,-0.215411,0.070393,0.388042,-0.331028,0.122442,-0.362226,-0.156353,0.108753,1.010161,-0.29219,0.063125,0.056584,-0.078598,0.103004,-0.003076,0.06501,0.050637,0.790898,0.957024,0.05126,0.109031,0.082153,-0.086232,-0.136891,0.938169,-1.009702,0.344801,0.061576
-7.734224,4.005576,0.766465,0.006016,0.076716,0.780415,-0.620508,0.066425,-0.223098,0.034443,0.380839,-0.345188,0.118757,-0.375355,-0.112397,0.191185,0.875036,-0.294795,0.097387,0.05426,-0.078229,0.102197,-0.022993,0.074082,0.044042,0.739307,0.92751,0.015526,0.117236,0.102035,-0.099108,-0.163563,0.942713,-1.009922,0.341813,0.067405
-7.741125,3.988771,0.765888,0.003903,0.076488,0.771417,-0.631704,0.102574,-0.226692,8e-06,0.359425,-0.353658,0.113661,-0.376891,-0.081739,0.275409,0.720138,-0.267842,0.116837,0.052151,-0.077001,0.099872,-0.032125,0.089276,0.024556,0.684195,0.904168,-0.019337,0.132399,0.118754,-0.106036,-0.183867,0.941959,-1.017831,0.344375,0.050915
-7.747625,3.972053,0.765242,0.001554,0.075757,0.762804,-0.642175,0.143048,-0.227803,-0.033245,0.325344,-0.353917,0.110557,-0.372862,-0.07445,0.331361,0.561858,-0.221017,0.098507,0.050306,-0.075665,0.096466,-0.032121,0.107973,-0.001182,0.632618,0.884072,-0.047295,0.154708,0.132437,-0.105438,-0.201416,0.937411,-1.02567,0.349103,0.024796
-7.75394,3.955603,0.76453,-0.00074,0.074741,0.755358,-0.651036,0.184468,-0.225908,-0.063244,0.285636,-0.347327,0.108881,-0.370319,-0.090335,0.316478,0.42164,-0.167754,0.119393,0.05002,-0.075167,0.092691,-0.025281,0.129381,-0.030549,0.590823,0.86659,-0.069081,0.171482,0.141117,-0.098379,-0.216427,0.932974,-1.029497,0.355489,0.006646
-7.760536,3.939447,0.763574,-0.003093,0.074545,0.747931,-0.65957,0.220341,-0.222445,-0.090878,0.257476,-0.343828,0.105838,-0.370935,-0.101542,0.281676,0.344478,-0.123508,0.154397,0.048361,-0.074798,0.08899,-0.013704,0.148527,-0.056402,0.564056,0.851673,-0.074111,0.178389,0.145298,-0.089666,-0.227294,0.929061,-1.028548,0.352948,-0.004629
-7.767387,3.923554,0.763045,-0.004465,0.073899,0.74023,-0.668265,0.246985,-0.214914,-0.114407,0.248185,-0.344001,0.101442,-0.371943,-0.103694,0.258582,0.346955,-0.073679,0.158339,0.044258,-0.073784,0.085071,0.001782,0.163267,-0.077136,0.553524,0.836995,-0.067125,0.179026,0.144507,-0.081485,-0.228572,0.927999,-1.027837,0.343522,-0.006399
-7.774378,3.908159,0.763512,-0.004706,0.073435,0.732671,-0.676593,0.2662,-0.204812,-0.13167,0.255725,-0.339263,0.097935,-0.360955,-0.105072,0.237886,0.37694,-0.041952,0.153202,0.039824,-0.071466,0.081139,0.020433,0.172792,-0.094294,0.559811,0.8234,-0.053282,0.172889,0.139074,-0.077965,-0.209545,0.932406,-1.040558,0.332037,-0.001951
-7.781398,3.892711,0.769171,-0.003678,0.071144,0.725454,-0.684574,0.277895,-0.190618,-0.143201,0.280451,-0.319567,0.096048,-0.340263,-0.10557,0.210384,0.390496,-0.052866,0.141018,0.036365,-0.066295,0.07716,0.038699,0.174915,-0.10376,0.587728,0.813607,-0.028445,0.172682,0.126556,-0.076315,-0.171356,0.942027,-1.067088,0.321032,0.000524
-7.78812,3.877839,0.773592,-0.002431,0.06803,0.719429,-0.691222,0.271384,-0.176469,-0.14961,0.326759,-0.286487,0.096529,-0.310868,-0.106554,0.179479,0.384397,-0.07715,0.14228,0.03409,-0.057911,0.072553,0.055129,0.167526,-0.106144,0.641728,0.809593,0.00722,0.173897,0.108699,-0.077481,-0.118026,0.954425,-1.10272,0.300817,0.005955
-7.794346,3.863709,0.777853,-0.000559,0.064647,0.71442,-0.696724,0.251283,-0.163971,-0.154332,0.392247,-0.242562,0.092449,-0.273984,-0.105161,0.151721,0.361245,-0.093163,0.143632,0.031851,-0.047881,0.067966,0.072658,0.151773,-0.099263,0.718704,0.812256,0.058617,0.172815,0.086821,-0.080841,-0.057815,0.967754,-1.142922,0.288594,0.018091
-7.800214,3.85052,0.781736,0.001344,0.060024,0.709147,-0.702499,0.212787,-0.151586,-0.155296,0.481643,-0.190343,0.081935,-0.235256,-0.100431,0.125242,0.327087,-0.100174,0.135081,0.028407,-0.037548,0.06458,0.085964,0.138183,-0.095767,0.806519,0.828704,0.119364,0.146625,0.061432,-0.080517,-0.005212,0.968785,-1.168388,0.269864,0.026739
-7.805791,3.838364,0.784541,0.002827,0.054399,0.701938,-0.710152,0.152565,-0.138024,-0.150434,0.59947,-0.131229,0.056078,-0.201363,-0.095103,0.095205,0.295161,-0.105308,0.124599,0.023549,-0.027291,0.063464,0.098513,0.132027,-0.095349,0.884032,0.845471,0.171468,0.095492,0.038181,-0.081722,0.029285,0.954087,-1.179128,0.239969,0.039118
-7.81097,3.82725,0.785949,0.003994,0.049162,0.693151,-0.719102,0.078062,-0.120072,-0.136516,0.736459,-0.086065,-0.007764,-0.17377,-0.090778,0.062683,0.273046,-0.113864,0.113219,0.017655,-0.017067,0.065297,0.108254,0.128078,-0.112965,0.945826,0.870201,0.19798,0.0241,0.013656,-0.081718,0.051075,0.926628,-1.171886,0.207492,0.035946
-7.815711,3.816637,0.789347,0.004475,0.043683,0.682188,-0.729857,-0.005065,-0.091253,-0.106309,0.881217,-0.074517,-0.055784,-0.153675,-0.087588,0.027544,0.263451,-0.125739,0.101607,0.010835,-0.006447,0.070482,0.119727,0.138149,-0.153311,0.97965,0.908149,0.183698,-0.044904,-0.008868,-0.082084,0.055632,0.890383,-1.141916,0.180732,0.014489
-7.819649,3.80672,0.790057,0.006062,0.038411,0.670486,-0.740902,-0.086002,-0.033082,-0.044191,0.994565,-0.126061,-0.028765,-0.142004,-0.083273,-0.007158,0.27003,-0.144168,0.089694,0.005441,0.005176,0.077702,0.134424,0.157289,-0.220605,0.987035,0.970673,0.137143,-0.090011,-0.026865,-0.085342,0.058014,0.853925,-1.098819,0.158089,-0.024081
